id,testset_segid,global_segid,source,reference,system,translation,mqm_avg_score,score_textdavinci003_EA,score_ChatGPT_EA
99,15,614,"EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.","Jean-Claude Juncker, der Präsident der Europäischen Kommission, sagte, dass er und Barnier alles Mögliche für ein Abkommen tun würden und dass ein Scheitern die Schuld Großbritanniens wäre.",Tohoku-AIP-NTT.890,"EU-Präsident Jean-Claude Juncker sagte, dass er und Barnier alles für einen Deal tun, und wenn sie scheitern, ist es Großbritanniens Schuld.",-0.333333,-14,-2
100,15,614,"EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.","Jean-Claude Juncker, der Präsident der Europäischen Kommission, sagte, dass er und Barnier alles Mögliche für ein Abkommen tun würden und dass ein Scheitern die Schuld Großbritanniens wäre.",OPPO.1535,"EU-Präsident Jean-Claude Juncker sagte, dass er und Barnier alles in ihrer Macht Stehende für ein Abkommen tun, und wenn sie scheitern, ist es Großbritanniens Schuld.",-0.0,-15,-2
101,15,614,"EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.","Jean-Claude Juncker, der Präsident der Europäischen Kommission, sagte, dass er und Barnier alles Mögliche für ein Abkommen tun würden und dass ein Scheitern die Schuld Großbritanniens wäre.",eTranslation.737,"EU-Präsident Jean-Claude Juncker sagte, er und Barnier tun alles, was sie können für einen Deal, und wenn sie scheitern, ist es Großbritanniens Schuld.",-0.333333,-15,0
102,15,614,"EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.","Jean-Claude Juncker, der Präsident der Europäischen Kommission, sagte, dass er und Barnier alles Mögliche für ein Abkommen tun würden und dass ein Scheitern die Schuld Großbritanniens wäre.",Tencent_Translation.1520,"EU-Präsident Jean-Claude Juncker sagte, er und Barnier tun alles in ihrer Macht Stehende für ein Abkommen, und wenn sie scheitern, ist es die Schuld Großbritanniens.",-0.0,-15,-3
103,15,614,"EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.","Jean-Claude Juncker, der Präsident der Europäischen Kommission, sagte, dass er und Barnier alles Mögliche für ein Abkommen tun würden und dass ein Scheitern die Schuld Großbritanniens wäre.",Huoshan_Translate.832,"EU-Präsident Jean-Claude Juncker sagte, er und Barnier tun alles in ihrer Macht Stehende für einen Deal, und wenn sie scheitern, ist es Großbritanniens Schuld.",-0.0,-15,-2
104,15,614,"EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.","Jean-Claude Juncker, der Präsident der Europäischen Kommission, sagte, dass er und Barnier alles Mögliche für ein Abkommen tun würden und dass ein Scheitern die Schuld Großbritanniens wäre.",Online-B.1590,"EU-Präsident Jean-Claude Juncker sagte, er und Barnier tun alles, um einen Deal zu machen, und wenn sie scheitern, ist Großbritannien schuld.",-1.0,-14,-2
105,15,614,"EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.","Jean-Claude Juncker, der Präsident der Europäischen Kommission, sagte, dass er und Barnier alles Mögliche für ein Abkommen tun würden und dass ein Scheitern die Schuld Großbritanniens wäre.",Online-A.1574,"EU-Kommissionspräsident Jean-Claude Juncker sagte, er und Barnier würden alles in ihrer Macht Stehende für einen Deal tun, und wenn sie scheitern, ist großbritannien schuld.",-1.0,-14,-14
106,16,1036,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene, die sie zur Welt bringen könnten, wegzugeben. Die Behörden teilen mit, dass die Organisation Babys an kinderlose griechische Paare verkauft hat.",Tohoku-AIP-NTT.890,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos waren und bereit waren, Neugeborene aufzugeben, die sie gebären könnten. Behörden sagen, dass die Gruppe Babys an kinderlose griechische Paare verkaufte.",-3.666667,-14,-13
107,16,1036,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene, die sie zur Welt bringen könnten, wegzugeben. Die Behörden teilen mit, dass die Organisation Babys an kinderlose griechische Paare verkauft hat.",OPPO.1535,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene aufzugeben, die sie gebären könnten. Behörden sagen, dass die Gruppe Babys an kinderlose griechische Paare verkaufte.",-3.0,-15,-3
108,16,1036,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene, die sie zur Welt bringen könnten, wegzugeben. Die Behörden teilen mit, dass die Organisation Babys an kinderlose griechische Paare verkauft hat.",eTranslation.737,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene aufzugeben, die sie entbinden könnten. Behörden sagen, dass die Gruppe Babys an kinderlose griechische Paare verkaufte.",-3.0,-15,-13
109,16,1036,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene, die sie zur Welt bringen könnten, wegzugeben. Die Behörden teilen mit, dass die Organisation Babys an kinderlose griechische Paare verkauft hat.",Tencent_Translation.1520,"Die Bande soll schwangere bulgarische Frauen rekrutiert haben, die mittellos und bereit waren, Neugeborene aufzugeben, die sie liefern könnten. Behörden sagen, dass die Gruppe Babys an kinderlose griechische Paare verkaufte.",-2.333333,-14,-4
110,16,1036,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene, die sie zur Welt bringen könnten, wegzugeben. Die Behörden teilen mit, dass die Organisation Babys an kinderlose griechische Paare verkauft hat.",Huoshan_Translate.832,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos waren und bereit waren, Neugeborene aufzugeben, die sie entbinden könnten. Die Behörden sagen, dass die Gruppe Babys an kinderlose griechische Paare verkaufte.",-3.333333,-15,-3
111,16,1036,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene, die sie zur Welt bringen könnten, wegzugeben. Die Behörden teilen mit, dass die Organisation Babys an kinderlose griechische Paare verkauft hat.",Online-B.1590,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos waren und bereit waren, Neugeborene aufzugeben, die sie zur Welt bringen könnten. Laut Behörden verkaufte die Gruppe Babys an kinderlose griechische Paare.",-3.333333,-13,-3
112,16,1036,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,"Die Bande rekrutierte angeblich schwangere bulgarische Frauen, die mittellos und bereit waren, Neugeborene, die sie zur Welt bringen könnten, wegzugeben. Die Behörden teilen mit, dass die Organisation Babys an kinderlose griechische Paare verkauft hat.",Online-A.1574,"Die Bande soll schwangere bulgarische Frauen rekrutiert haben, die mittellos waren und bereit waren, Neugeborene aufzugeben, die sie liefern könnten. Behörden sagen, dass die Gruppe Babys an kinderlose griechische Paare verkauft.",-4.333333,-14,-4
113,17,1095,"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Am Freitag sagte China, es habe „keinen einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Quadratmeter“ fremden Lands eingenommen, ohne sich auf den Krieg mit Indien von 1962 zu beziehen.",Tohoku-AIP-NTT.890,"China sagte am Freitag, dass es keinen ""einzigen Krieg oder Konflikt"" provoziert habe oder ""in ein einziges Quadrat"" fremden Landes eingedrungen sei, und umging jeden Hinweis auf den Krieg mit Indien von 1962.",-3.033333,-13,-2
114,17,1095,"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Am Freitag sagte China, es habe „keinen einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Quadratmeter“ fremden Lands eingenommen, ohne sich auf den Krieg mit Indien von 1962 zu beziehen.",OPPO.1535,"China sagte am Freitag, es habe keinen „einzigen Krieg oder Konflikt“ provoziert oder „in ein einziges Quadrat“ fremden Landes eingedrungen, was jeden Hinweis auf den Krieg mit Indien 1962 umging.",-6.666667,-14,-12
115,17,1095,"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Am Freitag sagte China, es habe „keinen einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Quadratmeter“ fremden Lands eingenommen, ohne sich auf den Krieg mit Indien von 1962 zu beziehen.",eTranslation.737,"China sagte am Freitag, es habe keinen „einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Platz“ von fremdem Land eingenommen, ohne jeglichen Hinweis auf den Krieg 1962 mit Indien.",-4.0,-15,-10
116,17,1095,"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Am Freitag sagte China, es habe „keinen einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Quadratmeter“ fremden Lands eingenommen, ohne sich auf den Krieg mit Indien von 1962 zu beziehen.",Tencent_Translation.1520,"China sagte am Freitag, es habe keinen „einzigen Krieg oder Konflikt“ provoziert oder „in einen einzigen Platz“ fremden Landes eingedrungen, was jeden Hinweis auf den Krieg 1962 mit Indien verzerrt.",-7.0,-19,-13
117,17,1095,"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Am Freitag sagte China, es habe „keinen einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Quadratmeter“ fremden Lands eingenommen, ohne sich auf den Krieg mit Indien von 1962 zu beziehen.",Huoshan_Translate.832,"China sagte am Freitag, es habe keinen „einzigen Krieg oder Konflikt“ provoziert oder „in ein einziges Quadrat“ fremden Landes eingedrungen, was jeden Hinweis auf den Krieg mit Indien von 1962 umgeht.",-7.0,-14,-2
118,17,1095,"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Am Freitag sagte China, es habe „keinen einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Quadratmeter“ fremden Lands eingenommen, ohne sich auf den Krieg mit Indien von 1962 zu beziehen.",Online-B.1590,"China sagte am Freitag, es habe keinen ""einzigen Krieg oder Konflikt"" provoziert oder ""in ein einziges Quadrat"" fremden Landes eingedrungen, um einen Hinweis auf den Krieg mit Indien von 1962 zu umgehen.",-6.0,-14,-3
119,17,1095,"China on Friday said it has not provoked a ""single war or conflict"" or ""invaded a single square"" of foreign land, skirting any reference to the 1962 war with India.","Am Freitag sagte China, es habe „keinen einzigen Krieg oder Konflikt“ provoziert oder „einen einzigen Quadratmeter“ fremden Lands eingenommen, ohne sich auf den Krieg mit Indien von 1962 zu beziehen.",Online-A.1574,"China erklärte am Freitag, es habe keinen ""einzigen Krieg oder Konflikt"" provoziert oder ""ein einziges Quadrat"" fremden Landes überfallen und damit jeglichen Hinweis auf den Krieg mit Indien von 1962 umgangen.",-3.033333,-15,-4
120,18,1193,"But the whistleblower's complaint alleges that Trump was soliciting foreign assistance to help in the 2020 campaign. The whistleblower acknowledged in the complaint, though, that the concerns were based on second-hand information.","Doch die Beschwerde des Informanten behauptet, dass Trump um ausländische Hilfe für die Wahlkampagne 2020 warb. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",Tohoku-AIP-NTT.890,"Aber die Beschwerde des Whistleblowers behauptet, dass Trump um ausländische Hilfe gebeten habe, um bei der Kampagne 2020 zu helfen. Der Whistleblower räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",-1.333333,-14,-2
121,18,1193,"But the whistleblower's complaint alleges that Trump was soliciting foreign assistance to help in the 2020 campaign. The whistleblower acknowledged in the complaint, though, that the concerns were based on second-hand information.","Doch die Beschwerde des Informanten behauptet, dass Trump um ausländische Hilfe für die Wahlkampagne 2020 warb. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",OPPO.1535,"Doch die Beschwerde des Whistleblowers behauptet, Trump habe um ausländische Hilfe gebeten, um bei der Kampagne 2020 zu helfen. Der Whistleblower räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",-2.666667,-14,-2
122,18,1193,"But the whistleblower's complaint alleges that Trump was soliciting foreign assistance to help in the 2020 campaign. The whistleblower acknowledged in the complaint, though, that the concerns were based on second-hand information.","Doch die Beschwerde des Informanten behauptet, dass Trump um ausländische Hilfe für die Wahlkampagne 2020 warb. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",eTranslation.737,"Aber die Beschwerde des Whistleblowers behauptet, Trump habe ausländische Hilfe angefordert, um bei der Kampagne 2020 zu helfen. Der Whistleblower räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",-1.0,-15,0
123,18,1193,"But the whistleblower's complaint alleges that Trump was soliciting foreign assistance to help in the 2020 campaign. The whistleblower acknowledged in the complaint, though, that the concerns were based on second-hand information.","Doch die Beschwerde des Informanten behauptet, dass Trump um ausländische Hilfe für die Wahlkampagne 2020 warb. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",Tencent_Translation.1520,"Aber die Beschwerde des Whistleblowers behauptet, dass Trump um ausländische Hilfe bat, um bei der Kampagne 2020 zu helfen. Der Whistleblower räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",-2.666667,-15,0
124,18,1193,"But the whistleblower's complaint alleges that Trump was soliciting foreign assistance to help in the 2020 campaign. The whistleblower acknowledged in the complaint, though, that the concerns were based on second-hand information.","Doch die Beschwerde des Informanten behauptet, dass Trump um ausländische Hilfe für die Wahlkampagne 2020 warb. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",Huoshan_Translate.832,"Aber die Beschwerde des Whistleblower behauptet, dass Trump um ausländische Hilfe gebeten habe, um bei der Kampagne 2020 zu helfen. Der Whistleblower räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",-2.333333,-15,-3
125,18,1193,"But the whistleblower's complaint alleges that Trump was soliciting foreign assistance to help in the 2020 campaign. The whistleblower acknowledged in the complaint, though, that the concerns were based on second-hand information.","Doch die Beschwerde des Informanten behauptet, dass Trump um ausländische Hilfe für die Wahlkampagne 2020 warb. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",Online-B.1590,"In der Beschwerde des Whistleblowers wird jedoch behauptet, Trump habe ausländische Hilfe angefordert, um bei der Kampagne 2020 zu helfen. Der Whistleblower räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",-1.0,-14,0
126,18,1193,"But the whistleblower's complaint alleges that Trump was soliciting foreign assistance to help in the 2020 campaign. The whistleblower acknowledged in the complaint, though, that the concerns were based on second-hand information.","Doch die Beschwerde des Informanten behauptet, dass Trump um ausländische Hilfe für die Wahlkampagne 2020 warb. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",Online-A.1574,"Doch die Beschwerde des Whistleblowers behauptet, Trump habe um ausländische Hilfe gebeten, um im Wahlkampf 2020 zu helfen. Der Hinweisgeber räumte in der Beschwerde jedoch ein, dass die Bedenken auf Informationen aus zweiter Hand beruhten.",-0.333333,-14,0
127,19,1263,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC.","Die Strafzumessung beginnt am Montag. Haskells Verteidiger Neil Davis III sagte laut KPRC, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe.“",Tohoku-AIP-NTT.890,"Die Verurteilungsphase beginnt am Montag. Haskells Verteidiger Neil Davis III sagte, sein Team werde daran arbeiten, ""sein Leben zu retten. Das ist unsere Aufgabe"", so KPRC.",-0.533333,-13,-2
128,19,1263,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC.","Die Strafzumessung beginnt am Montag. Haskells Verteidiger Neil Davis III sagte laut KPRC, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe.“",OPPO.1535,"Die Verurteilungsphase beginnt am Montag. Haskell Verteidiger Neil Davis III sagte, dass sein Team arbeiten werde, „um sein Leben zu retten. Das ist unsere Aufgabe“, so KPRC.",-1.333333,-14,0
129,19,1263,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC.","Die Strafzumessung beginnt am Montag. Haskells Verteidiger Neil Davis III sagte laut KPRC, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe.“",eTranslation.737,"Die Strafphase beginnt am Montag. Haskell-Verteidigungsanwalt Neil Davis III sagte, sein Team werde arbeiten, „um sein Leben zu retten. Das ist unsere Aufgabe“, nach KPRC.",-2.666667,-13,0
130,19,1263,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC.","Die Strafzumessung beginnt am Montag. Haskells Verteidiger Neil Davis III sagte laut KPRC, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe.“",Tencent_Translation.1520,"Die Verurteilungsphase beginnt am Montag. Haskells Verteidiger Neil Davis III sagte, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe“, so KPRC.",-0.666667,-13,0
131,19,1263,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC.","Die Strafzumessung beginnt am Montag. Haskells Verteidiger Neil Davis III sagte laut KPRC, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe.“",Huoshan_Translate.832,"Die Verurteilungsphase beginnt am Montag. Haskell Verteidiger Neil Davis III sagte, sein Team werde arbeiten, „um sein Leben zu retten. Das ist unsere Aufgabe“, so KPRC.",-1.333333,-15,0
132,19,1263,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC.","Die Strafzumessung beginnt am Montag. Haskells Verteidiger Neil Davis III sagte laut KPRC, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe.“",Online-B.1590,"Die Urteilsphase beginnt am Montag. Neil Davis III, Verteidiger von Haskell, sagte, sein Team werde ""arbeiten, um sein Leben zu retten. Das ist unsere Aufgabe"", so KPRC.",-1.133333,-14,-12
133,19,1263,"The sentencing phase begins Monday. Haskell defense attorney Neil Davis III said his team will work ""to save his life. That's our job,"" according to KPRC.","Die Strafzumessung beginnt am Montag. Haskells Verteidiger Neil Davis III sagte laut KPRC, sein Team werde daran arbeiten, „sein Leben zu retten. Das ist unsere Aufgabe.“",Online-A.1574,"Die Strafphase beginnt am Montag. Haskell-Verteidiger Neil Davis III sagte, sein Team werde ""arbeiten, um sein Leben zu retten. Das ist unsere Aufgabe"", so KPRC.",-1.533333,-14,-2
134,20,1289,"""We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.","„Wir sind nach wie vor entschlossen, den besten Anhaltspunkten zu folgen und alle notwendigen Schritte einzuleiten, um sicherzustellen, dass die Bürger vor potenziellen Schädigungen geschützt werden.",Tohoku-AIP-NTT.890,"""Wir sind weiterhin entschlossen, den besten Beweisen zu folgen, um alle notwendigen Schritte zu unternehmen, um sicherzustellen, dass Menschen vor potenziellem Schaden geschützt sind.",-3.433333,-13,-3
135,20,1289,"""We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.","„Wir sind nach wie vor entschlossen, den besten Anhaltspunkten zu folgen und alle notwendigen Schritte einzuleiten, um sicherzustellen, dass die Bürger vor potenziellen Schädigungen geschützt werden.",OPPO.1535,"„Wir sind weiterhin entschlossen, die besten Beweise zu befolgen, um alle notwendigen Schritte zu unternehmen, um sicherzustellen, dass die Menschen vor potenziellen Schäden geschützt sind.",-2.7,-14,-3
136,20,1289,"""We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.","„Wir sind nach wie vor entschlossen, den besten Anhaltspunkten zu folgen und alle notwendigen Schritte einzuleiten, um sicherzustellen, dass die Bürger vor potenziellen Schädigungen geschützt werden.",eTranslation.737,"„Wir sind weiterhin bestrebt, den besten Beweisen zu folgen, um alle notwendigen Schritte zu unternehmen, um sicherzustellen, dass Menschen vor potenziellen Schäden geschützt sind.",-2.666667,-14,0
137,20,1289,"""We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.","„Wir sind nach wie vor entschlossen, den besten Anhaltspunkten zu folgen und alle notwendigen Schritte einzuleiten, um sicherzustellen, dass die Bürger vor potenziellen Schädigungen geschützt werden.",Tencent_Translation.1520,"„Wir verpflichten uns weiterhin, die besten Beweise zu befolgen, um alle notwendigen Schritte zu unternehmen, um sicherzustellen, dass Menschen vor potenziellen Schäden geschützt werden.",-2.333333,-14,-2
138,20,1289,"""We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.","„Wir sind nach wie vor entschlossen, den besten Anhaltspunkten zu folgen und alle notwendigen Schritte einzuleiten, um sicherzustellen, dass die Bürger vor potenziellen Schädigungen geschützt werden.",Huoshan_Translate.832,"""Wir sind weiterhin entschlossen, die besten Beweise zu befolgen, um alle notwendigen Schritte zu unternehmen, um sicherzustellen, dass Menschen vor potenziellen Schäden geschützt werden.",-3.8,-14,-2
139,20,1289,"""We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.","„Wir sind nach wie vor entschlossen, den besten Anhaltspunkten zu folgen und alle notwendigen Schritte einzuleiten, um sicherzustellen, dass die Bürger vor potenziellen Schädigungen geschützt werden.",Online-B.1590,"""Wir sind weiterhin bestrebt, die besten Beweise zu befolgen, um alle erforderlichen Maßnahmen zu ergreifen, um sicherzustellen, dass die Menschen vor potenziellen Schäden geschützt sind.",-2.8,-15,-2
140,20,1289,"""We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.","„Wir sind nach wie vor entschlossen, den besten Anhaltspunkten zu folgen und alle notwendigen Schritte einzuleiten, um sicherzustellen, dass die Bürger vor potenziellen Schädigungen geschützt werden.",Online-A.1574,"""Wir sind nach wie vor entschlossen, die besten Beweise zu liefern, um alle erforderlichen Maßnahmen zu ergreifen, um sicherzustellen, dass Menschen vor potenziellen Schäden geschützt sind.",-2.466667,-14,-13
141,21,88,"Visas in the desert kingdom, endowed with rich bedouin heritage and archaeological sites, are currently restricted to expat workers, their dependents and Muslim pilgrims travelling to holy sites in Mecca and Medina.","Die Erteilung von Visa im Wüstenkönigreich, ausgestattet mit einem reichen Beduinenerbe und archäologischen Stätten, ist derzeit auf Expatriates und ihre Angehörigen sowie auf muslimische Pilger beschränkt, die zu den heiligen Stätten in Mekka und Medina pilgern.",Tohoku-AIP-NTT.890,"Visa im Wüstenkönigreich, ausgestattet mit reichem Beduinenerbe und archäologischen Stätten, sind derzeit auf Expat-Arbeiter, ihre Angehörigen und muslimische Pilger beschränkt, die zu heiligen Stätten in Mekka und Medina reisen.",-1.0,-15,-13
142,21,88,"Visas in the desert kingdom, endowed with rich bedouin heritage and archaeological sites, are currently restricted to expat workers, their dependents and Muslim pilgrims travelling to holy sites in Mecca and Medina.","Die Erteilung von Visa im Wüstenkönigreich, ausgestattet mit einem reichen Beduinenerbe und archäologischen Stätten, ist derzeit auf Expatriates und ihre Angehörigen sowie auf muslimische Pilger beschränkt, die zu den heiligen Stätten in Mekka und Medina pilgern.",OPPO.1535,"Visa im Wüstenreich, das mit reichem Beduinenerbe und archäologischen Stätten ausgestattet ist, sind derzeit auf Expat-Arbeiter, ihre Angehörigen und muslimische Pilger beschränkt, die zu heiligen Stätten in Mekka und Medina reisen.",-0.666667,-14,-13
143,21,88,"Visas in the desert kingdom, endowed with rich bedouin heritage and archaeological sites, are currently restricted to expat workers, their dependents and Muslim pilgrims travelling to holy sites in Mecca and Medina.","Die Erteilung von Visa im Wüstenkönigreich, ausgestattet mit einem reichen Beduinenerbe und archäologischen Stätten, ist derzeit auf Expatriates und ihre Angehörigen sowie auf muslimische Pilger beschränkt, die zu den heiligen Stätten in Mekka und Medina pilgern.",eTranslation.737,"Visa im Wüstenreich, ausgestattet mit reichem Beduinen-Erbe und archäologischen Stätten, sind derzeit auf Expat-Arbeiter, ihre Angehörigen und muslimische Pilger beschränkt, die zu heiligen Stätten in Mekka und Medina reisen.",-0.666667,-15,-12
144,21,88,"Visas in the desert kingdom, endowed with rich bedouin heritage and archaeological sites, are currently restricted to expat workers, their dependents and Muslim pilgrims travelling to holy sites in Mecca and Medina.","Die Erteilung von Visa im Wüstenkönigreich, ausgestattet mit einem reichen Beduinenerbe und archäologischen Stätten, ist derzeit auf Expatriates und ihre Angehörigen sowie auf muslimische Pilger beschränkt, die zu den heiligen Stätten in Mekka und Medina pilgern.",Tencent_Translation.1520,"Visa im Wüstenreich, das mit einem reichen Beduinen-Erbe und archäologischen Stätten ausgestattet ist, sind derzeit auf ausländische Arbeiter, ihre Angehörigen und muslimische Pilger beschränkt, die zu heiligen Stätten in Mekka und Medina reisen.",-1.333333,-15,-13
145,21,88,"Visas in the desert kingdom, endowed with rich bedouin heritage and archaeological sites, are currently restricted to expat workers, their dependents and Muslim pilgrims travelling to holy sites in Mecca and Medina.","Die Erteilung von Visa im Wüstenkönigreich, ausgestattet mit einem reichen Beduinenerbe und archäologischen Stätten, ist derzeit auf Expatriates und ihre Angehörigen sowie auf muslimische Pilger beschränkt, die zu den heiligen Stätten in Mekka und Medina pilgern.",Huoshan_Translate.832,"Visa im Wüstenreich, ausgestattet mit reichem Beduinenerbe und archäologischen Stätten, sind derzeit auf Expat-Arbeiter, ihre Angehörigen und muslimische Pilger beschränkt, die zu heiligen Stätten in Mekka und Medina reisen.",-0.666667,-14,-14
146,21,88,"Visas in the desert kingdom, endowed with rich bedouin heritage and archaeological sites, are currently restricted to expat workers, their dependents and Muslim pilgrims travelling to holy sites in Mecca and Medina.","Die Erteilung von Visa im Wüstenkönigreich, ausgestattet mit einem reichen Beduinenerbe und archäologischen Stätten, ist derzeit auf Expatriates und ihre Angehörigen sowie auf muslimische Pilger beschränkt, die zu den heiligen Stätten in Mekka und Medina pilgern.",Online-B.1590,"Visa im Wüstenreich, die mit einem reichen Erbe der Beduinen und archäologischen Stätten ausgestattet sind, sind derzeit Expat-Arbeitern, ihren Angehörigen und muslimischen Pilgern vorbehalten, die zu heiligen Stätten in Mekka und Medina reisen.",-4.666667,-15,-14
